BG Rejection at 0.5,BG Rejection at 0.8,Difference,Signal Efficiency 0.5,Signal Efficiency 0.8,Study
188.485880899,27.7516433628,-160.734237536,0.5,0.8,ONNX
152.552070235,24.1902989683,-128.361771266,0.5,0.8,PyTorch
